デフォルト表示,連番ID,ID,レア度,Lv,二つ名,サポート名,得意トレ,グループ,特殊固有,友情ボナ,やる気効果,スピボナ,スタボナ,パワボナ,根性ボナ,賢さボナ,トレ効果,初期スピ,初期スタ,初期パワ,初期根性,初期賢さ,初期絆,レースボナ,ファンボナ,ヒントLv,ヒント率,得意率,イベ回復,イベ効果,失敗率,体力消費,Spボナ,友情回復,スキル個数,固有1,固有2,固有必要絆,固有1効果量,固有2効果量
0,3,テッペンに立て！45,SR,45,テッペンに立て！,ヒシアマゾン,パワー,,,30,40,0,1,0,0,0,0,0,0,20,0,0,25,5,15,0,0,50,0,0,0,0,0,0,6,友情ボナ,レースボナ,,10,5
0,4,副会長の一刺し25,SR,25,副会長の一刺し,エアグルーヴ,根性,,,15,20,0,0,0,0,0,5,0,0,0,0,0,25,5,10,2,30,0,0,0,0,0,0,0,7,やる気効果,レースボナ,,15,5
0,4,副会長の一刺し30,SR,30,副会長の一刺し,エアグルーヴ,根性,,,16,23,0,0,0,0,0,6,0,0,0,0,0,26,5,11,2,32,30,0,0,0,0,0,0,7,やる気効果,レースボナ,,15,5
0,4,副会長の一刺し35,SR,35,副会長の一刺し,エアグルーヴ,根性,,,18,26,0,0,0,0,0,7,0,0,0,0,0,27,5,12,2,35,45,0,0,0,0,0,0,7,やる気効果,レースボナ,,15,5
0,4,副会長の一刺し40,SR,40,副会長の一刺し,エアグルーヴ,根性,,,20,30,0,0,0,0,0,8,0,0,0,0,0,28,5,13,2,37,60,0,0,0,0,0,0,7,やる気効果,レースボナ,,15,5
0,4,副会長の一刺し45,SR,45,副会長の一刺し,エアグルーヴ,根性,,,20,30,0,0,0,1,0,10,0,0,0,0,0,30,5,15,2,40,60,0,0,0,0,0,0,7,やる気効果,レースボナ,,15,5
0,5,デジタル充電中+25,SR,25,デジタル充電中+,アグネスデジタル,パワー,,,15,20,0,0,0,0,0,5,0,0,0,0,0,25,5,10,2,30,0,0,0,0,0,0,0,7,友情ボナ,初期パワ,,10,20
0,5,デジタル充電中+30,SR,30,デジタル充電中+,アグネスデジタル,パワー,,,16,23,0,0,0,0,0,6,0,0,10,0,0,26,5,11,2,32,0,0,0,0,0,0,0,7,友情ボナ,初期パワ,,10,20
0,5,デジタル充電中+35,SR,35,デジタル充電中+,アグネスデジタル,パワー,,,18,26,0,0,0,0,0,7,0,0,15,0,0,27,5,12,2,35,0,0,0,0,0,0,0,7,友情ボナ,初期パワ,,10,20
0,5,デジタル充電中+40,SR,40,デジタル充電中+,アグネスデジタル,パワー,,,20,30,0,0,0,0,0,8,0,0,20,0,0,28,5,13,2,37,0,0,0,0,0,0,0,7,友情ボナ,初期パワ,,10,20
0,5,デジタル充電中+45,SR,45,デジタル充電中+,アグネスデジタル,パワー,,,20,30,0,0,0,0,0,10,0,0,20,0,0,30,5,15,2,40,0,0,0,0,0,1,0,7,友情ボナ,初期パワ,,10,20
0,6,検証、開始25,SR,25,検証、開始,ビワハヤヒデ,パワー,,,15,20,0,0,0,0,0,5,0,0,0,0,0,25,5,10,2,30,0,0,0,0,0,0,0,6,トレ効果,ヒント率,,5,20
0,6,検証、開始30,SR,30,検証、開始,ビワハヤヒデ,パワー,,,16,23,0,0,0,0,0,6,0,0,0,0,0,26,5,11,2,32,30,0,0,0,0,0,0,6,トレ効果,ヒント率,,5,20
0,6,検証、開始35,SR,35,検証、開始,ビワハヤヒデ,パワー,,,18,26,0,0,0,0,0,7,0,0,0,0,0,27,5,12,2,35,45,0,0,0,0,0,0,6,トレ効果,ヒント率,,5,20
0,6,検証、開始40,SR,40,検証、開始,ビワハヤヒデ,パワー,,,20,30,0,0,0,0,0,8,0,0,0,0,0,28,5,13,2,37,60,0,0,0,0,0,0,6,トレ効果,ヒント率,,5,20
0,6,検証、開始45,SR,45,検証、開始,ビワハヤヒデ,パワー,,,20,30,0,1,0,0,0,10,0,0,0,0,0,30,5,15,2,40,60,0,0,0,0,0,0,6,トレ効果,ヒント率,,5,20
0,7,カワイイ＋カワイイは～？25,SR,25,カワイイ＋カワイイは～？,マヤノトップガン,スタミナ,,,20,0,0,0,0,0,0,5,0,25,0,0,0,0,5,10,0,0,20,0,0,0,0,0,0,7,友情ボナ,得意率,,10,20
0,7,カワイイ＋カワイイは～？30,SR,30,カワイイ＋カワイイは～？,マヤノトップガン,スタミナ,,,21,10,0,0,0,0,0,6,0,26,0,0,0,0,5,11,0,0,25,0,0,0,0,0,0,7,友情ボナ,得意率,,10,20
0,7,カワイイ＋カワイイは～？35,SR,35,カワイイ＋カワイイは～？,マヤノトップガン,スタミナ,,,22,15,0,0,0,0,0,7,0,27,0,0,0,0,5,12,0,0,30,0,0,0,0,0,0,7,友情ボナ,得意率,,10,20
0,7,カワイイ＋カワイイは～？40,SR,40,カワイイ＋カワイイは～？,マヤノトップガン,スタミナ,,,23,20,0,0,0,0,0,8,0,28,0,0,0,0,5,13,0,0,35,0,0,0,0,0,0,7,友情ボナ,得意率,,10,20
0,7,カワイイ＋カワイイは～？45,SR,45,カワイイ＋カワイイは～？,マヤノトップガン,スタミナ,,,25,20,0,0,0,0,0,10,0,30,0,0,0,0,5,15,0,0,35,0,0,0,0,1,0,7,友情ボナ,得意率,,10,20
0,8,雨の独奏、私の独創25,SR,25,雨の独奏、私の独創,マンハッタンカフェ,スタミナ,,,15,30,0,0,0,0,0,0,0,15,0,0,0,20,5,15,0,0,35,0,0,0,0,0,0,7,トレ効果,得意率,,5,20
0,8,雨の独奏、私の独創30,SR,30,雨の独奏、私の独創,マンハッタンカフェ,スタミナ,,,16,32,0,0,0,0,0,0,0,16,0,0,0,21,6,16,1,20,38,0,0,0,0,0,0,7,トレ効果,得意率,,5,20
0,8,雨の独奏、私の独創35,SR,35,雨の独奏、私の独創,マンハッタンカフェ,スタミナ,,,18,35,0,0,0,0,0,0,0,18,0,0,0,22,7,17,1,25,42,0,0,0,0,0,0,7,トレ効果,得意率,,5,20
0,8,雨の独奏、私の独創40,SR,40,雨の独奏、私の独創,マンハッタンカフェ,スタミナ,,,20,37,0,0,0,0,0,0,0,20,0,0,0,23,8,18,2,30,46,0,0,0,0,0,0,7,トレ効果,得意率,,5,20
0,8,雨の独奏、私の独創45,SR,45,雨の独奏、私の独創,マンハッタンカフェ,スタミナ,,,20,40,0,1,0,0,0,0,0,20,0,0,0,25,10,20,2,30,50,0,0,0,0,0,0,7,トレ効果,得意率,,5,20
0,9,鍛えぬくトモ25,SR,25,鍛えぬくトモ,ミホノブルボン,パワー,,,25,30,0,0,0,0,0,0,0,0,0,0,0,20,5,10,0,0,35,0,0,0,0,0,0,5,友情ボナ,ヒント率,,10,20
0,9,鍛えぬくトモ30,SR,30,鍛えぬくトモ,ミホノブルボン,パワー,,,26,32,0,0,0,0,0,0,0,0,10,0,0,21,5,11,0,0,38,0,0,0,0,0,0,5,友情ボナ,ヒント率,,10,20
0,9,鍛えぬくトモ35,SR,35,鍛えぬくトモ,ミホノブルボン,パワー,,,27,35,0,0,0,0,0,0,0,0,15,0,0,22,5,12,0,0,42,0,0,0,0,0,0,5,友情ボナ,ヒント率,,10,20
0,9,鍛えぬくトモ40,SR,40,鍛えぬくトモ,ミホノブルボン,パワー,,,28,37,0,0,0,0,0,0,0,0,20,0,0,23,5,13,0,0,46,0,0,0,0,0,0,5,友情ボナ,ヒント率,,10,20
0,9,鍛えぬくトモ45,SR,45,鍛えぬくトモ,ミホノブルボン,パワー,,,30,40,0,0,1,0,0,0,0,0,20,0,0,25,5,15,0,0,50,0,0,0,0,0,0,5,友情ボナ,ヒント率,,10,20
0,10,鍛えて、応えて！25,SR,25,鍛えて、応えて！,メジロライアン,パワー,,,15,20,0,0,0,0,0,5,0,0,0,0,0,20,0,0,2,40,0,0,0,0,0,0,0,5,やる気効果,レースボナ,,15,5
0,10,鍛えて、応えて！30,SR,30,鍛えて、応えて！,メジロライアン,パワー,,,16,23,0,0,0,0,0,5,0,0,0,0,0,21,1,5,2,42,0,0,0,0,0,0,0,5,やる気効果,レースボナ,,15,5
0,10,鍛えて、応えて！35,SR,35,鍛えて、応えて！,メジロライアン,パワー,,,18,26,0,0,0,0,0,5,0,0,0,0,0,22,3,7,2,45,0,0,0,0,0,0,0,5,やる気効果,レースボナ,,15,5
0,10,鍛えて、応えて！40,SR,40,鍛えて、応えて！,メジロライアン,パワー,,,20,30,0,0,0,0,0,5,0,0,0,0,0,23,5,10,2,47,0,0,0,0,0,0,0,5,やる気効果,レースボナ,,15,5
0,10,鍛えて、応えて！45,SR,45,鍛えて、応えて！,メジロライアン,パワー,,,20,30,0,1,0,0,0,5,0,0,0,0,0,25,5,10,3,50,0,0,0,0,0,0,0,5,やる気効果,レースボナ,,15,5
0,11,シチーガール入門♯25,SR,25,シチーガール入門♯,ユキノビジン,根性,,,15,20,0,0,0,0,0,5,0,0,0,0,0,20,0,0,2,40,0,0,0,0,0,0,0,5,根性ボナ,初期根性,,1,20
0,11,シチーガール入門♯30,SR,30,シチーガール入門♯,ユキノビジン,根性,,,16,23,0,0,0,0,0,5,0,0,0,0,0,21,0,0,2,42,30,0,0,0,0,0,0,5,根性ボナ,初期根性,,1,20
0,11,シチーガール入門♯35,SR,35,シチーガール入門♯,ユキノビジン,根性,,,18,26,0,0,0,0,0,5,0,0,0,0,0,22,0,0,2,45,45,0,0,0,0,0,0,5,根性ボナ,初期根性,,1,20
0,11,シチーガール入門♯40,SR,40,シチーガール入門♯,ユキノビジン,根性,,,20,30,0,0,0,0,0,5,0,0,0,0,0,23,0,0,2,47,60,0,0,0,0,0,0,5,根性ボナ,初期根性,,1,20
0,11,シチーガール入門♯45,SR,45,シチーガール入門♯,ユキノビジン,根性,,,20,30,0,0,1,0,0,5,0,0,0,0,0,25,0,0,3,50,60,0,0,0,0,0,0,5,根性ボナ,初期根性,,1,20
0,12,生体Aに関する実験的研究25,SR,25,生体Aに関する実験的研究,アグネスタキオン,賢さ,,,15,30,0,0,0,0,0,0,0,0,0,0,15,20,5,15,0,0,35,0,0,0,0,0,3,5,Spボナ,ヒント率,,1,20
0,12,生体Aに関する実験的研究30,SR,30,生体Aに関する実験的研究,アグネスタキオン,賢さ,,,16,32,0,0,0,0,0,1,0,0,0,0,16,21,6,16,0,0,38,0,0,0,0,0,3,5,Spボナ,ヒント率,,1,20
0,12,生体Aに関する実験的研究35,SR,35,生体Aに関する実験的研究,アグネスタキオン,賢さ,,,18,35,0,0,0,0,0,3,0,0,0,0,18,22,7,17,0,0,42,0,0,0,0,0,3,5,Spボナ,ヒント率,,1,20
0,12,生体Aに関する実験的研究40,SR,40,生体Aに関する実験的研究,アグネスタキオン,賢さ,,,20,37,0,0,0,0,0,5,0,0,0,0,20,23,8,18,0,0,46,0,0,0,0,0,3,5,Spボナ,ヒント率,,1,20
0,12,生体Aに関する実験的研究45,SR,45,生体Aに関する実験的研究,アグネスタキオン,賢さ,,,20,40,0,0,0,0,1,5,0,0,0,0,20,25,10,20,0,0,50,0,0,0,0,0,4,5,Spボナ,ヒント率,,1,20
0,13,0500・定刻通り25,SR,25,0500・定刻通り,エイシンフラッシュ,スピード,,,15,40,0,0,0,0,0,0,0,0,0,0,0,20,0,0,2,30,20,0,0,0,0,0,0,6,やる気効果,レースボナ,,15,5
0,13,0500・定刻通り30,SR,30,0500・定刻通り,エイシンフラッシュ,スピード,,,16,42,0,0,0,0,0,1,0,0,0,0,0,21,0,0,2,32,25,0,0,0,0,0,0,6,やる気効果,レースボナ,,15,5
0,13,0500・定刻通り35,SR,35,0500・定刻通り,エイシンフラッシュ,スピード,,,18,45,0,0,0,0,0,3,0,0,0,0,0,22,0,0,2,35,30,0,0,0,0,0,0,6,やる気効果,レースボナ,,15,5
0,13,0500・定刻通り40,SR,40,0500・定刻通り,エイシンフラッシュ,スピード,,,20,47,0,0,0,0,0,5,0,0,0,0,0,23,0,0,2,37,35,0,0,0,0,0,0,6,やる気効果,レースボナ,,15,5
0,13,0500・定刻通り45,SR,45,0500・定刻通り,エイシンフラッシュ,スピード,,,20,50,1,0,0,0,0,5,0,0,0,0,0,25,0,0,2,40,35,0,0,0,0,0,0,6,やる気効果,レースボナ,,15,5
0,14,波立つキモチ25,SR,25,波立つキモチ,ナリタタイシン,スピード,,,15,20,0,0,0,0,0,5,0,0,0,0,0,25,5,10,2,30,0,0,0,0,0,0,0,8,やる気効果,得意率,,15,20
0,14,波立つキモチ30,SR,30,波立つキモチ,ナリタタイシン,スピード,,,16,23,0,0,0,0,0,6,10,0,0,0,0,26,5,11,2,32,0,0,0,0,0,0,0,8,やる気効果,得意率,,15,20
0,14,波立つキモチ35,SR,35,波立つキモチ,ナリタタイシン,スピード,,,18,26,0,0,0,0,0,7,15,0,0,0,0,27,5,12,2,35,0,0,0,0,0,0,0,8,やる気効果,得意率,,15,20
0,14,波立つキモチ40,SR,40,波立つキモチ,ナリタタイシン,スピード,,,20,30,0,0,0,0,0,8,20,0,0,0,0,28,5,13,2,37,0,0,0,0,0,0,0,8,やる気効果,得意率,,15,20
0,14,波立つキモチ45,SR,45,波立つキモチ,ナリタタイシン,スピード,,,20,30,1,0,0,0,0,10,20,0,0,0,0,30,5,15,2,40,0,0,0,0,0,0,0,8,やる気効果,得意率,,15,20
0,15,マーベラス☆大作戦25,SR,25,マーベラス☆大作戦,マーベラスサンデー,賢さ,,,15,30,0,0,0,0,0,0,0,0,0,0,15,20,5,15,0,0,35,0,0,0,0,0,3,6,やる気効果,初期賢さ,,15,20
0,15,マーベラス☆大作戦30,SR,30,マーベラス☆大作戦,マーベラスサンデー,賢さ,,,16,32,0,0,0,0,0,0,0,0,0,0,16,21,6,16,1,20,38,0,0,0,0,0,3,6,やる気効果,初期賢さ,,15,20
0,15,マーベラス☆大作戦35,SR,35,マーベラス☆大作戦,マーベラスサンデー,賢さ,,,18,35,0,0,0,0,0,0,0,0,0,0,18,22,7,17,1,25,42,0,0,0,0,0,3,6,やる気効果,初期賢さ,,15,20
0,15,マーベラス☆大作戦40,SR,40,マーベラス☆大作戦,マーベラスサンデー,賢さ,,,20,37,0,0,0,0,0,0,0,0,0,0,20,23,8,18,2,30,46,0,0,0,0,0,3,6,やる気効果,初期賢さ,,15,20
0,15,マーベラス☆大作戦45,SR,45,マーベラス☆大作戦,マーベラスサンデー,賢さ,,,20,40,0,0,0,0,1,0,0,0,0,0,20,25,10,20,2,30,50,0,0,0,0,0,4,6,やる気効果,初期賢さ,,15,20
1,16,運の行方25,SR,25,運の行方,マチカネフクキタル,賢さ,,,15,40,0,0,0,0,0,0,0,0,0,0,0,20,0,0,2,30,20,0,0,0,0,0,3,8,友情ボナ,初期絆,,10,15
1,16,運の行方30,SR,30,運の行方,マチカネフクキタル,賢さ,,,16,42,0,0,0,0,0,1,0,0,0,0,0,21,0,0,2,32,25,0,0,0,0,0,3,8,友情ボナ,初期絆,,10,15
1,16,運の行方35,SR,35,運の行方,マチカネフクキタル,賢さ,,,18,45,0,0,0,0,0,3,0,0,0,0,0,22,0,0,2,35,30,0,0,0,0,0,3,8,友情ボナ,初期絆,,10,15
1,16,運の行方40,SR,40,運の行方,マチカネフクキタル,賢さ,,,20,47,0,0,0,0,0,5,0,0,0,0,0,23,0,0,2,37,35,0,0,0,0,0,3,8,友情ボナ,初期絆,,10,15
1,16,運の行方45,SR,45,運の行方,マチカネフクキタル,賢さ,,,20,50,0,0,0,0,1,5,0,0,0,0,0,25,0,0,2,40,35,0,0,0,0,0,4,8,友情ボナ,初期絆,,10,15
0,17,幸せと背中合わせ25,SR,25,幸せと背中合わせ,メイショウドトウ,根性,,,20,0,0,0,0,0,0,5,0,0,0,25,0,0,5,10,0,0,20,0,0,0,0,0,0,8,トレ効果,ヒント率,,5,20
0,17,幸せと背中合わせ30,SR,30,幸せと背中合わせ,メイショウドトウ,根性,,,21,0,0,0,0,0,0,6,0,0,0,26,0,10,5,11,0,0,25,0,0,0,0,0,0,8,トレ効果,ヒント率,,5,20
0,17,幸せと背中合わせ35,SR,35,幸せと背中合わせ,メイショウドトウ,根性,,,22,0,0,0,0,0,0,7,0,0,0,27,0,15,5,12,0,0,30,0,0,0,0,0,0,8,トレ効果,ヒント率,,5,20
0,17,幸せと背中合わせ40,SR,40,幸せと背中合わせ,メイショウドトウ,根性,,,23,0,0,0,0,0,0,8,0,0,0,28,0,20,5,13,0,0,35,0,0,0,0,0,0,8,トレ効果,ヒント率,,5,20
0,17,幸せと背中合わせ45,SR,45,幸せと背中合わせ,メイショウドトウ,根性,,,25,0,0,0,0,1,0,10,0,0,0,30,0,20,5,15,0,0,35,0,0,0,0,0,0,8,トレ効果,ヒント率,,5,20
0,18,目線は気にせず25,SR,25,目線は気にせず,メジロドーベル,賢さ,,,15,20,0,0,0,0,0,5,0,0,0,0,0,25,5,10,2,30,0,0,0,0,0,0,3,6,トレ効果,初期賢さ,,5,20
0,18,目線は気にせず30,SR,30,目線は気にせず,メジロドーベル,賢さ,,,16,23,0,0,0,0,0,6,0,0,0,0,10,26,5,11,2,32,0,0,0,0,0,0,3,6,トレ効果,初期賢さ,,5,20
0,18,目線は気にせず35,SR,35,目線は気にせず,メジロドーベル,賢さ,,,18,26,0,0,0,0,0,7,0,0,0,0,15,27,5,12,2,35,0,0,0,0,0,0,3,6,トレ効果,初期賢さ,,5,20
0,18,目線は気にせず40,SR,40,目線は気にせず,メジロドーベル,賢さ,,,20,30,0,0,0,0,0,8,0,0,0,0,20,28,5,13,2,37,0,0,0,0,0,0,3,6,トレ効果,初期賢さ,,5,20
0,18,目線は気にせず45,SR,45,目線は気にせず,メジロドーベル,賢さ,,,20,30,0,0,0,0,1,10,0,0,0,0,20,30,5,15,2,40,0,0,0,0,0,0,4,6,トレ効果,初期賢さ,,5,20
0,19,…ただの水滴ですって25,SR,25,…ただの水滴ですって,ナイスネイチャ,根性,,,15,20,0,0,0,0,0,5,0,0,0,0,0,20,0,0,2,40,0,0,0,0,0,0,0,9,やる気効果,初期根性,,15,20
0,19,…ただの水滴ですって30,SR,30,…ただの水滴ですって,ナイスネイチャ,根性,,,16,23,0,0,0,0,0,5,0,0,0,0,0,21,1,5,2,42,0,0,0,0,0,0,0,9,やる気効果,初期根性,,15,20
0,19,…ただの水滴ですって35,SR,35,…ただの水滴ですって,ナイスネイチャ,根性,,,18,26,0,0,0,0,0,5,0,0,0,0,0,22,3,7,2,45,0,0,0,0,0,0,0,9,やる気効果,初期根性,,15,20
0,19,…ただの水滴ですって40,SR,40,…ただの水滴ですって,ナイスネイチャ,根性,,,20,30,0,0,0,0,0,5,0,0,0,0,0,23,5,10,2,47,0,0,0,0,0,0,0,9,やる気効果,初期根性,,15,20
0,19,…ただの水滴ですって45,SR,45,…ただの水滴ですって,ナイスネイチャ,根性,,,20,30,0,0,0,0,0,5,0,0,0,0,0,25,5,10,3,50,0,0,0,0,0,1,0,9,やる気効果,初期根性,,15,20
0,20,一流プランニング25,SR,25,一流プランニング,キングヘイロー,スピード,,,15,20,0,0,0,0,0,5,0,0,0,0,0,20,0,0,2,40,0,0,0,0,0,0,0,7,スピボナ,初期スピ,,1,20
0,20,一流プランニング30,SR,30,一流プランニング,キングヘイロー,スピード,,,16,23,0,0,0,0,0,5,0,0,0,0,0,21,0,0,2,42,30,0,0,0,0,0,0,7,スピボナ,初期スピ,,1,20
0,20,一流プランニング35,SR,35,一流プランニング,キングヘイロー,スピード,,,18,26,0,0,0,0,0,5,0,0,0,0,0,22,0,0,2,45,45,0,0,0,0,0,0,7,スピボナ,初期スピ,,1,20
0,20,一流プランニング40,SR,40,一流プランニング,キングヘイロー,スピード,,,20,30,0,0,0,0,0,5,0,0,0,0,0,23,0,0,2,47,60,0,0,0,0,0,0,7,スピボナ,初期スピ,,1,20
0,20,一流プランニング45,SR,45,一流プランニング,キングヘイロー,スピード,,,20,30,0,0,1,0,0,5,0,0,0,0,0,25,0,0,3,50,60,0,0,0,0,0,0,7,スピボナ,初期スピ,,1,20
0,21,共に同じ道を！25,SR,25,共に同じ道を！,桐生院葵,友人,,,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,40,25,20,15,0,0,0,失敗率,体力消費,,10,5
0,21,共に同じ道を！30,SR,30,共に同じ道を！,桐生院葵,友人,,,0,0,0,0,0,0,0,0,0,0,0,0,10,21,0,0,0,0,0,42,26,21,16,0,0,0,失敗率,体力消費,,10,5
0,21,共に同じ道を！35,SR,35,共に同じ道を！,桐生院葵,友人,,,0,0,0,0,0,0,0,0,0,0,0,0,15,22,0,0,0,0,0,45,27,22,17,0,0,0,失敗率,体力消費,,10,5
0,21,共に同じ道を！40,SR,40,共に同じ道を！,桐生院葵,友人,,,0,0,0,0,0,0,0,0,0,0,0,0,20,23,0,0,0,0,0,47,28,23,18,0,0,0,失敗率,体力消費,,10,5
0,21,共に同じ道を！45,SR,45,共に同じ道を！,桐生院葵,友人,,,0,0,0,0,0,0,0,5,0,0,0,0,20,25,0,0,0,0,0,50,30,25,20,0,0,0,失敗率,体力消費,,10,5
0,22,これがウチらのいか焼きや！25,SR,25,これがウチらのいか焼きや！,タマモクロス,根性,,,15,0,0,0,0,0,0,10,0,0,15,0,0,15,0,0,2,30,0,0,0,0,0,0,0,8,Spボナ,初期根性,,1,20
0,22,これがウチらのいか焼きや！30,SR,30,これがウチらのいか焼きや！,タマモクロス,根性,,,16,0,0,0,0,0,0,11,0,0,16,0,0,16,0,0,2,32,30,0,0,0,0,0,0,8,Spボナ,初期根性,,1,20
0,22,これがウチらのいか焼きや！35,SR,35,これがウチらのいか焼きや！,タマモクロス,根性,,,18,0,0,0,0,0,0,12,0,0,18,0,0,18,0,0,2,35,45,0,0,0,0,0,0,8,Spボナ,初期根性,,1,20
0,22,これがウチらのいか焼きや！40,SR,40,これがウチらのいか焼きや！,タマモクロス,根性,,,20,0,0,0,0,0,0,13,0,0,20,0,0,20,0,0,2,37,60,0,0,0,0,0,0,8,Spボナ,初期根性,,1,20
0,22,これがウチらのいか焼きや！45,SR,45,これがウチらのいか焼きや！,タマモクロス,根性,,,20,0,0,0,0,1,0,15,0,0,20,0,0,20,0,0,2,40,60,0,0,0,0,0,0,8,Spボナ,初期根性,,1,20
0,23,見習い魔女と長い夜25,SR,25,見習い魔女と長い夜,スイープトウショウ,スピード,,,25,30,0,0,0,0,0,0,0,0,0,0,0,20,5,10,0,0,35,0,0,0,0,0,0,8,トレ効果,ヒント率,,5,20
0,23,見習い魔女と長い夜30,SR,30,見習い魔女と長い夜,スイープトウショウ,スピード,,,26,32,0,0,0,0,0,1,0,0,0,0,0,21,5,11,0,0,38,0,0,0,0,0,0,8,トレ効果,ヒント率,,5,20
0,23,見習い魔女と長い夜35,SR,35,見習い魔女と長い夜,スイープトウショウ,スピード,,,27,35,0,0,0,0,0,3,0,0,0,0,0,22,5,12,0,0,42,0,0,0,0,0,0,8,トレ効果,ヒント率,,5,20
0,23,見習い魔女と長い夜40,SR,40,見習い魔女と長い夜,スイープトウショウ,スピード,,,28,37,0,0,0,0,0,5,0,0,0,0,0,23,5,13,0,0,46,0,0,0,0,0,0,8,トレ効果,ヒント率,,5,20
0,23,見習い魔女と長い夜45,SR,45,見習い魔女と長い夜,スイープトウショウ,スピード,,,30,40,0,0,0,0,0,5,0,0,0,0,0,25,5,15,0,0,50,0,0,0,0,1,0,8,トレ効果,ヒント率,,5,20
0,24,パリピ・ぱーりないと！25,SR,25,パリピ・ぱーりないと！,ダイタクヘリオス,パワー,,,15,30,0,0,0,0,0,0,0,0,15,0,0,20,5,15,0,0,35,0,0,0,0,0,0,8,やる気効果,得意率,,15,20
0,24,パリピ・ぱーりないと！30,SR,30,パリピ・ぱーりないと！,ダイタクヘリオス,パワー,,,16,32,0,0,0,0,0,0,0,0,16,0,0,21,6,16,1,20,38,0,0,0,0,0,0,8,やる気効果,得意率,,15,20
0,24,パリピ・ぱーりないと！35,SR,35,パリピ・ぱーりないと！,ダイタクヘリオス,パワー,,,18,35,0,0,0,0,0,0,0,0,18,0,0,22,7,17,1,25,42,0,0,0,0,0,0,8,やる気効果,得意率,,15,20
